stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:OCECar TER-87107425,Bologne Salle des Fêtes,,48.1997370,5.14141600,,,0,StopArea:OCE87107425
StopArea:OCE87107433,Soncourt,,48.2522390,5.11697100,,,1,
StopPoint:OCECar TER-87107433,Soncourt,,48.2522390,5.11697100,,,0,StopArea:OCE87107433
StopArea:OCE87107458,Gudmont-Centre,,48.3425160,5.13696900,,,1,
StopPoint:OCECar TER-87107458,Gudmont-Centre,,48.3425160,5.13696900,,,0,StopArea:OCE87107458
StopArea:OCE87107466,Eurville Mairie,,48.5852970,5.03725000,,,1,
StopPoint:OCECar TER-87107466,Eurville Mairie,,48.5852970,5.03725000,,,0,StopArea:OCE87107466
StopArea:OCE87107474,Saint-Dizier Godard-Jeanson,,48.6314070,4.95030400,,,1,
StopPoint:OCECar TER-87107474,Saint-Dizier Godard-Jeanson,,48.6314070,4.95030400,,,0,StopArea:OCE87107474
StopArea:OCE87107482,Chatonrupt,,48.4885990,5.12729000,,,1,
StopPoint:OCECar TER-87107482,Chatonrupt,,48.4885990,5.12729000,,,0,StopArea:OCE87107482
StopArea:OCE87107490,Fronville Lotissement,,48.4046620,5.15470800,,,1,
StopPoint:OCECar TER-87107490,Fronville Lotissement,,48.4046620,5.15470800,,,0,StopArea:OCE87107490
StopArea:OCE87107508,Marnaval Église,,48.6253500,4.99012100,,,1,
StopPoint:OCECar TER-87107508,Marnaval Église,,48.6253500,4.99012100,,,0,StopArea:OCE87107508
StopArea:OCE87108829,Sedan Place Calonne,,49.6997470,4.94424500,,,1,
StopPoint:OCECar TER-87108829,Sedan Place Calonne,,49.6997470,4.94424500,,,0,StopArea:OCE87108829
StopArea:OCE87109306,Lille Centre Hospitalier Régional,,50.6142970,3.03427800,,,1,
StopPoint:OCETrain TER-87109306,Lille Centre Hospitalier Régional,,50.6142970,3.03427800,,,0,StopArea:OCE87109306
StopArea:OCE87110171,Landeyrat,,45.2798150,2.86959400,,,1,
StopPoint:OCECar TER-87110171,Landeyrat,,45.2798150,2.86959400,,,0,StopArea:OCE87110171
StopArea:OCE87110189,Marcenat,,45.3052590,2.82872200,,,1,
StopPoint:OCECar TER-87110189,Marcenat,,45.3052590,2.82872200,,,0,StopArea:OCE87110189
StopArea:OCE87110197,Condat,,45.3348350,2.75983800,,,1,
StopPoint:OCECar TER-87110197,Condat,,45.3348350,2.75983800,,,0,StopArea:OCE87110197
StopArea:OCE87110205,Saint-Amandin,,45.3432180,2.69462200,,,1,
StopPoint:OCECar TER-87110205,Saint-Amandin,,45.3432180,2.69462200,,,0,StopArea:OCE87110205
StopArea:OCE87110346,Ervy-le-Châtel Halles,,48.0416740,3.91092900,,,1,
StopPoint:OCECar TER-87110346,Ervy-le-Châtel Halles,,48.0416740,3.91092900,,,0,StopArea:OCE87110346
StopArea:OCE87110361,Villeneuve-au-Chemin,,48.0899010,3.85131700,,,1,
StopPoint:OCECar TER-87110361,Villeneuve-au-Chemin,,48.0899010,3.85131700,,,0,StopArea:OCE87110361
StopArea:OCE87110379,Fays-la-Chapelle,,48.1296960,4.01893300,,,1,
StopPoint:OCECar TER-87110379,Fays-la-Chapelle,,48.1296960,4.01893300,,,0,StopArea:OCE87110379
StopArea:OCE87111864,Balsièges Bourg,,44.4822120,3.45659800,,,1,
